County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Arecibo, PR",17089,"Chicago-Naperville-Elgin, IL-IN-WI",IL,Region 5," 96,440 ",0.0%, 179 , 140 ,12.0%,9.6%,,,,,,
"Arenac County, MI",55059,"Chicago-Naperville-Elgin, IL-IN-WI",WI,Region 5," 14,883 ",0.0%, 779 , 645 ,20.1%,14.1%,,,,,,
"Arkansas County, AR",26081,"Grand Rapids-Kentwood, MI",MI,Region 5," 17,486 ",0.0%, 326 , 389 ,3.8%,6.1%,,,,,,
"Arlington County, VA",6029,"Bakersfield, CA",CA,Region 9," 236,842 ",0.1%, 224 , 161 ,3.4%,10.1%,,,,,,
"Armstrong County, PA",53033,"Seattle-Tacoma-Bellevue, WA",WA,Region 10," 64,735 ",0.0%, 408 , 433 ,12.3%,12.6%,,,,,,
"Armstrong County, TX",6031,"Hanford-Corcoran, CA",CA,Region 9," 1,887 ",0.0%, 424 , 212 ,37.5%,42.9%,,,,,,
"Arroyo, PR",47093,"Knoxville, TN",TN,Region 4," 19,575 ",0.0%, 51 , 36 ,,40.0%,,,,,,
"Arthur County, NE",55063,"La Crosse-Onalaska, WI-MN",WI,Region 5, 463 ,0.0%, 432 , 648 ,33.3%,100.0%,,,,,,
"Ascension Parish, LA",17097,"Chicago-Naperville-Elgin, IL-IN-WI",IL,Region 5," 126,604 ",0.0%, 228 , 537 ,11.8%,16.9%,,,,,,
"Ashe County, NC",18089,"Chicago-Naperville-Elgin, IL-IN-WI",IN,Region 5," 27,203 ",0.0%, 283 , 305 ,6.9%,11.6%,,,,,,
"Ashland County, OH",31109,"Lincoln, NE",NE,Region 7," 53,484 ",0.0%, 490 , 314 ,16.8%,12.7%,,,,,,
"Ashland County, WI",12071,"Cape Coral-Fort Myers, FL",FL,Region 4," 15,562 ",0.0%, 617 , 668 ,8.1%,12.7%,,,,,,
"Ashley County, AR",12073,"Tallahassee, FL",FL,Region 4," 19,657 ",0.0%, 610 , 356 ,21.6%,17.0%,,,,,,
"Ashtabula County, OH",45063,"Columbia, SC",SC,Region 4," 97,241 ",0.0%, 506 , 464 ,7.9%,10.3%,,,,,,
"Asotin County, WA",6037,"Los Angeles-Long Beach-Anaheim, CA",CA,Region 9," 22,582 ",0.0%, 483 , 576 ,29.7%,27.1%,,,,,,
"Assumption Parish, LA",48303,"Lubbock, TX",TX,Region 6," 21,891 ",0.0%, 201 , 461 ,5.0%,7.9%,,,,,,
"Atascosa County, TX",26099,"Detroit-Warren-Dearborn, MI",MI,Region 5," 51,153 ",0.0%, 149 , 151 ,10.5%,16.8%,,,,,,
"Atchison County, KS",1089,"Huntsville, AL",AL,Region 4," 16,073 ",0.0%, 454 , 566 ,5.8%,15.5%,,,,,,
"Atchison County, MO",17119,"St. Louis, MO-IL",IL,Region 5," 5,143 ",0.0%, 486 , 817 ,0.0%,29.4%,,,,,,
"Athens County, OH",4013,"Phoenix-Mesa-Chandler, AZ",AZ,Region 9," 65,327 ",0.0%, 392 , 207 ,7.7%,13.8%,,,,,,
"Atkinson County, GA",18097,"Indianapolis-Carmel-Anderson, IN",IN,Region 5," 8,165 ",0.0%, 135 , 110 ,27.3%,4.2%,,,,,,
"Atlantic County, NJ",48309,"Waco, TX",TX,Region 6," 263,670 ",0.1%, 251 , 271 ,11.5%,10.5%,,,,,,
"Atoka County, OK",37119,"Charlotte-Concord-Gastonia, NC-SC",NC,Region 4," 13,758 ",0.0%, 494 ," 1,010 ",15.6%,35.9%,,,,,,
"Attala County, MS",12086,"Miami-Fort Lauderdale-Pompano Beach, FL",FL,Region 4," 18,174 ",0.0%, 418 , 594 ,9.4%,10.7%,,,,,,
"Audrain County, MO",25017,"Boston-Cambridge-Newton, MA-NH",MA,Region 1," 25,388 ",0.0%, 540 , 441 ,34.1%,25.6%,,,,,,
"Audubon County, IA",55079,"Milwaukee-Waukesha, WI",WI,Region 5," 5,496 ",0.0%, 291 , 619 ,13.2%,18.2%,,,,,,
"Auglaize County, OH",46099,"Sioux Falls, SD",SD,Region 8," 45,656 ",0.0%, 675 , 839 ,22.6%,28.3%,,,,,,
"Augusta County, VA",1097,"Mobile, AL",AL,Region 4," 75,558 ",0.0%, 189 , 146 ,9.5%,16.9%,,,,,,
"Aurora County, SD",18105,"Bloomington, IN",IN,Region 5," 2,751 ",0.0%," 1,127 "," 2,072 ",24.1%,45.8%,,,,,,
"Austin County, TX",6053,"Salinas, CA",CA,Region 9," 30,032 ",0.0%, 153 , 43 ,12.1%,9.6%,,,,,,
"Autauga County, AL",24031,"Washington-Arlington-Alexandria, DC-VA-MD-WV",MD,Region 3," 55,869 ",0.0%, 184 , 204 ,16.8%,17.8%,,,,,,
"Avery County, NC",39113,"Dayton-Kettering, OH",OH,Region 5," 17,557 ",0.0%, 450 , 644 ,12.4%,15.9%,,,,,,
"Baca County, CO",51121,"Blacksburg-Christiansburg, VA",VA,Region 3," 3,581 ",0.0%," 1,424 ", 168 ,3.8%,3.0%,,,,,,
"Bailey County, TX",10003,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",DE,Region 3," 7,000 ",0.0%, 243 , 529 ,9.1%,50.0%,,,,,,
"Baker County, GA",48355,"Corpus Christi, TX",TX,Region 6," 3,038 ",0.0%, 132 , 66 ,27.3%,25.0%,,,,,,
"Baker County, OR",26125,"Detroit-Warren-Dearborn, MI",MI,Region 5," 16,124 ",0.0%, 130 , 242 ,14.4%,17.9%,,,,,,
"Baldwin County, AL",34029,"New York-Newark-Jersey City, NY-NJ-PA",NJ,Region 2," 223,234 ",0.0%, 227 , 166 ,12.4%,10.2%,,,,,,
"Baldwin County, GA",40109,"Oklahoma City, OK",OK,Region 6," 44,890 ",0.0%, 116 , 105 ,10.7%,5.9%,,,,,,
"Ballard County, KY",37133,"Jacksonville, NC",NC,Region 4," 7,888 ",0.0%, 177 , 139 ,7.8%,11.2%,,,,,,
"Banks County, GA",17143,"Peoria, IL",IL,Region 5," 19,234 ",0.0%, 291 , 224 ,28.2%,24.4%,,,,,,
"Banner County, NE",42101,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,Region 3, 745 ,0.0%, 403 , 805 ,50.0%,33.3%,,,,,,
"Bannock County, ID",4019,"Tucson, AZ",AZ,Region 9," 87,808 ",0.1%, 613 , 418 ,15.1%,14.0%,,,,,,
"Baraga County, MI",12103,"Tampa-St. Petersburg-Clearwater, FL",FL,Region 4," 8,209 ",0.0%, 962 ," 1,267 ",3.1%,3.5%,,,,,,
"Barber County, KS",37147,"Greenville, NC",NC,Region 4," 4,427 ",0.0%, 474 , 587 ,44.4%,31.2%,,,,,,
"Barbour County, AL",12105,"Lakeland-Winter Haven, FL",FL,Region 4," 24,686 ",0.0%, 32 , 57 ,7.3%,12.1%,,,,,,
"Barbour County, WV",19153,"Des Moines-West Des Moines, IA",IA,Region 7," 16,441 ",0.0%, 383 , 231 ,5.8%,2.2%,,,,,,
"Barceloneta, PR",24033,"Washington-Arlington-Alexandria, DC-VA-MD-WV",MD,Region 3," 24,816 ",0.0%, 157 , 113 ,13.4%,15.2%,,,,,,
"Barnes County, ND",51153,"Washington-Arlington-Alexandria, DC-VA-MD-WV",VA,Region 3," 10,415 ",0.0%," 1,267 "," 2,064 ",8.5%,14.6%,,,,,,
"Barren County, KY",55101,"Racine, WI",WI,Region 5," 44,249 ",0.0%, 323 , 402 ,6.8%,11.3%,,,,,,
"Barron County, WI",27123,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Region 5," 45,244 ",0.0%, 778 ," 1,848 ",16.8%,23.7%,,,,,,
"Barrow County, GA",45079,"Columbia, SC",SC,Region 4," 83,240 ",0.0%, 199 , 154 ,15.1%,9.8%,,,,,,
"Barry County, MI",13245,"Augusta-Richmond County, GA-SC",GA,Region 4," 61,550 ",0.0%, 648 , 595 ,19.6%,16.6%,,,,,,
"Barry County, MO",20161,"Manhattan, KS",KS,Region 7," 35,789 ",0.0%, 229 , 486 ,21.8%,31.7%,,,,,,
"Bartholomew County, IN",6065,"Riverside-San Bernardino-Ontario, CA",CA,Region 9," 83,779 ",0.1%, 622 , 659 ,17.2%,16.3%,,,,,,
"Barton County, KS",55105,"Janesville-Beloit, WI",WI,Region 5," 25,779 ",0.0%, 764 ," 1,133 ",37.0%,36.9%,,,,,,
"Barton County, MO",47149,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,Region 4," 11,754 ",0.0%, 264 , 536 ,34.5%,25.0%,,,,,,
"Bartow County, GA",6067,"Sacramento-Roseville-Folsom, CA",CA,Region 9," 107,738 ",0.0%, 185 , 210 ,16.2%,14.9%,,,,,,
"Bates County, MO",37163,,NC,Region 4," 16,172 ",0.0%, 495 , 488 ,26.1%,25.9%,,,,,,
"Bath County, KY",6071,"Riverside-San Bernardino-Ontario, CA",CA,Region 9," 12,500 ",0.0%, 272 , 264 ,10.9%,9.8%,,,,,,
"Bath County, VA",6073,"San Diego-Chula Vista-Carlsbad, CA",CA,Region 9," 4,147 ",0.0%, 241 , 362 ,15.6%,33.3%,,,,,,
"Baxter County, AR",6075,"San Francisco-Oakland-Berkeley, CA",CA,Region 9," 41,932 ",0.0%, 334 , 348 ,12.2%,11.2%,,,,,,
"Bay County, MI",6081,"San Francisco-Oakland-Berkeley, CA",CA,Region 9," 103,126 ",0.1%, 721 , 836 ,15.2%,17.4%,,,,,,
"Bayfield County, WI",20173,"Wichita, KS",KS,Region 7," 15,036 ",0.0%, 419 , 898 ,6.4%,11.8%,,,,,,
"Baylor County, TX",1117,"Birmingham-Hoover, AL",AL,Region 4," 3,509 ",0.0%, 57 , 114 ,7.7%,33.3%,,,,,,
"Beadle County, SD",47157,"Memphis, TN-MS-AR",TN,Region 4," 18,453 ",0.0%, 683 ," 1,523 ",4.6%,9.4%,,,,,,
"Bear Lake County, ID",6097,"Santa Rosa-Petaluma, CA",CA,Region 9," 6,125 ",0.0%, 343 , 539 ,18.2%,36.2%,,,,,,
"Beauregard Parish, LA",29183,"St. Louis, MO-IL",MO,Region 7," 37,497 ",0.0%, 240 , 224 ,13.5%,11.1%,,,,,,
"Beaver County, OK",29187,"Farmington, MO",MO,Region 7," 5,311 ",0.0%, 885 , 433 ,35.5%,26.3%,,,,,,
"Beaver County, PA",18141,"South Bend-Mishawaka, IN-MI",IN,Region 5," 163,929 ",0.1%, 392 , 229 ,11.8%,10.5%,,,,,,
"Beaver County, UT",29189,"St. Louis, MO-IL",MO,Region 7," 6,710 ",0.0%, 149 , 313 ,13.6%,16.1%,,,,,,
"Beaverhead County, MT",6099,"Modesto, CA",CA,Region 9," 9,453 ",0.0%, 465 ," 1,439 ",15.3%,39.7%,,,,,,
"Becker County, MN",25025,"Boston-Cambridge-Newton, MA-NH",MA,Region 1," 34,423 ",0.0%," 1,139 "," 1,104 ",12.8%,19.9%,,,,,,
"Beckham County, OK",36103,"New York-Newark-Jersey City, NY-NJ-PA",NY,Region 2," 21,859 ",0.0%, 823 , 430 ,15.7%,8.3%,,,,,,
"Bedford County, PA",48439,"Dallas-Fort Worth-Arlington, TX",TX,Region 6," 47,888 ",0.0%, 714 , 624 ,21.8%,23.7%,,,,,,
"Bedford County, TN",48453,"Austin-Round Rock-Georgetown, TX",TX,Region 6," 49,713 ",0.0%, 599 , 537 ,19.0%,23.4%,,,,,,
"Bedford County, VA",6107,"Visalia, CA",CA,Region 9," 78,997 ",0.0%, 159 , 172 ,5.6%,13.0%,,,,,,
"Bee County, TX",40143,"Tulsa, OK",OK,Region 6," 32,565 ",0.0%, 258 , 77 ,13.4%,14.2%,,,,,,
"Belknap County, NH",1125,"Tuscaloosa, AL",AL,Region 4," 61,303 ",0.0%, 251 , 217 ,10.8%,6.3%,,,,,,
"Bell County, KY",49049,"Provo-Orem, UT",UT,Region 8," 26,032 ",0.0%, 315 , 288 ,6.8%,12.4%,,,,,,
"Belmont County, OH",6111,"Oxnard-Thousand Oaks-Ventura, CA",CA,Region 9," 67,006 ",0.0%, 466 , 334 ,14.0%,17.7%,,,,,,
"Beltrami County, MN",12127,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Region 4," 47,188 ",0.0%, 826 , 629 ,19.2%,22.1%,,,,,,
"Ben Hill County, GA",37183,"Raleigh-Cary, NC",NC,Region 4," 16,700 ",0.0%, 126 , 48 ,13.6%,6.7%,,,,,,
"Benewah County, ID",48471,"Huntsville, TX",TX,Region 6," 9,298 ",0.0%, 194 , 151 ,15.4%,14.6%,,,,,,
"Bennett County, SD",55127,"Whitewater, WI",WI,Region 5," 3,365 ",0.0%, 416 , 654 ,8.8%,1.3%,,,,,,
"Benson County, ND",32031,"Reno, NV",NV,Region 9," 6,832 ",0.0%, 629 , 893 ,13.1%,17.9%,,,,,,
"Bent County, CO",55133,"Milwaukee-Waukesha, WI",WI,Region 5," 5,577 ",0.0%," 1,990 ", 215 ,6.0%,4.7%,,,,,,
"Benton County, AR",26163,"Detroit-Warren-Dearborn, MI",MI,Region 5," 279,141 ",0.1%, 316 , 279 ,11.0%,10.8%,,,,,,
"Benton County, IA",48479,"Laredo, TX",TX,Region 6," 25,645 ",0.0%, 628 ," 1,104 ",18.3%,24.8%,,,,,,
"Benton County, IN",17197,"Chicago-Naperville-Elgin, IL-IN-WI",IL,Region 5," 8,748 ",0.0%, 777 , 995 ,15.7%,21.8%,,,,,,
"Benton County, MN",17201,"Rockford, IL",IL,Region 5," 40,889 ",0.0%," 1,032 "," 1,294 ",16.9%,18.1%,,,,,,
"Benton County, MO",55139,"Oshkosh-Neenah, WI",WI,Region 5," 19,443 ",0.0%, 175 , 540 ,14.8%,24.2%,,,,,,
"Benton County, MS",19193,"Sioux City, IA-NE-SD",IA,Region 7," 8,259 ",0.0%, 133 , 545 ,9.2%,28.6%,,,,,,
"Benton County, TN",42133,"York-Hanover, PA",PA,Region 3," 16,160 ",0.0%, 532 , 749 ,27.2%,20.7%,,,,,,
"Benton County, WA",,,,," 204,390 ",0.1%, 389 , 369 ,10.6%,11.0%,,,,,,
"Benzie County, MI",,,,," 17,766 ",0.0%, 585 , 276 ,15.5%,7.7%,,,,,,
"Berkeley County, WV",,,,," 119,171 ",0.0%, 404 , 296 ,8.5%,8.9%,,,,,,
"Berks County, PA",,,,," 421,164 ",0.1%, 312 , 266 ,11.4%,12.3%,,,,,,
"Bernalillo County, NM",,,,," 679,121 ",0.4%, 688 , 513 ,16.0%,18.4%,,,,,,
"Berrien County, GA",,,,," 19,397 ",0.0%, 170 , 67 ,18.6%,9.3%,,,,,,
"Berrien County, MI",,,,," 153,401 ",0.1%, 696 , 710 ,20.2%,21.5%,,,,,,
"Bertie County, NC",,,,," 18,947 ",0.0%, 264 , 232 ,13.1%,17.9%,,,,,,
"Bethel Census Area, AK",,,,," 18,386 ",0.0%," 2,186 "," 1,061 ",17.6%,15.6%,,,,,,
"Bexar County, TX",,,,," 2,003,554 ",0.5%, 280 , 126 ,10.9%,10.3%,,,,,,
"Bibb County, AL",,,,," 22,394 ",0.0%, 121 , 138 ,14.4%,15.4%,,,,,,
"Bibb County, GA",,,,," 153,159 ",0.0%, 101 , 130 ,10.2%,10.4%,,,,,,
"Bienville Parish, LA",,,,," 13,241 ",0.0%, 332 , 415 ,11.3%,5.3%,,,,,,
"Big Horn County, MT",,,,," 13,319 ",0.0%, 180 ," 1,081 ",15.9%,23.3%,,,,,,
"Big Horn County, WY",,,,," 11,790 ",0.0%, 611 , 704 ,13.3%,7.8%,,,,,,
"Big Stone County, MN",,,,," 4,991 ",0.0%, 902 , 681 ,10.5%,9.4%,,,,,,
"Billings County, ND",,,,, 928 ,0.0%, 216 , 216 ,14.3%,12.5%,,,,,,
"Bingham County, ID",,,,," 46,811 ",0.0%, 605 , 641 ,20.1%,21.1%,,,,,,
"Black Hawk County, IA",,,,," 131,228 ",0.1%, 587 ," 1,002 ",19.0%,29.1%,,,,,,
"Blackford County, IN",,,,," 11,758 ",0.0%, 757 , 570 ,20.6%,15.5%,,,,,,
"Blaine County, ID",,,,," 23,021 ",0.0%, 361 , 487 ,17.5%,16.0%,,,,,,
"Blaine County, MT",,,,," 6,681 ",0.0%, 524 , 689 ,20.0%,37.6%,,,,,,
"Blaine County, NE",,,,, 465 ,0.0%, 215 ," 1,075 ",25.0%,16.7%,,,,,,
"Blaine County, OK",,,,," 9,429 ",0.0%, 753 , 308 ,25.0%,16.9%,,,,,,
"Blair County, PA",,,,," 121,829 ",0.1%, 698 , 552 ,15.6%,11.5%,,,,,,
"Bland County, VA",,,,," 6,280 ",0.0%," 1,194 ", 239 ,29.2%,15.8%,,,,,,
"Bledsoe County, TN",,,,," 15,064 ",0.0%, 259 , 193 ,14.8%,12.1%,,,,,,
"Blount County, AL",,,,," 57,826 ",0.0%, 228 , 263 ,33.8%,35.5%,,,,,,
"Blount County, TN",,,,," 133,088 ",0.1%, 397 , 489 ,17.9%,16.1%,,,,,,
"Blue Earth County, MN",,,,," 67,653 ",0.0%, 670 , 925 ,10.7%,13.4%,,,,,,
"Boise County, ID",,,,," 7,831 ",0.0%, 153 , 140 ,12.4%,16.7%,,,,,,
"Bollinger County, MO",,,,," 12,133 ",0.0%, 305 , 832 ,15.0%,31.9%,,,,,,
"Bon Homme County, SD",,,,," 6,901 ",0.0%, 840 , 913 ,31.0%,36.1%,,,,,,
"Bond County, IL",,,,," 16,426 ",0.0%, 810 , 700 ,8.4%,11.0%,,,,,,
"Bonner County, ID",,,,," 45,739 ",0.0%, 278 , 297 ,20.8%,24.1%,,,,,,
"Bonneville County, ID",,,,," 119,062 ",0.1%, 590 , 650 ,27.7%,30.6%,,,,,,
"Boone County, AR",,,,," 37,432 ",0.0%, 513 , 481 ,12.3%,9.8%,,,,,,
"Boone County, IA",,,,," 26,234 ",0.0%, 419 , 572 ,18.9%,18.5%,,,,,,
"Boone County, IL",,,,," 53,544 ",0.0%, 747 , 936 ,22.9%,30.8%,,,,,,
"Boone County, IN",,,,," 67,843 ",0.0%, 469 , 509 ,14.9%,16.0%,,,,,,
"Boone County, KY",,,,," 133,581 ",0.1%, 486 , 404 ,16.9%,17.8%,,,,,,
"Boone County, MO",,,,," 180,463 ",0.1%, 375 , 670 ,14.9%,22.4%,,,,,,
"Boone County, NE",,,,," 5,192 ",0.0%, 693 , 924 ,28.2%,37.7%,,,,,,
"Boone County, WV",,,,," 21,457 ",0.0%, 308 , 298 ,10.2%,10.6%,,,,,,
"Borden County, TX",,,,, 654 ,0.0%, -   , 153 ,33.3%,25.0%,,,,,,
